Lokasyon,m2,Bina Yaşı,Fiyat
Muğla / Menteşe / Düğerek Mah.,211 m²,4 Yaşında,15.000.000 TL
Muğla / Menteşe / Kötekli Mah.,55 m²,11 Yaşında,3.450.000 TL
Muğla / Menteşe / Yeşilyurt Mah.,75 m²,60 Yaşında,4.100.000 TL
Muğla / Menteşe / Yeniköy Mah.,55 m²,15 Yaşında,3.250.000 TL
Muğla / Menteşe / Kötekli Mah.,36 m²,3 Yaşında,3.450.000 TL
Muğla / Menteşe / Karamehmet Mah.,165 m²,16 Yaşında,12.100.000 TL
Muğla / Menteşe / Gülağzı Mah.,133 m²,Sıfır Bina,39.970.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,110 m²,30 Yaşında,7.750.000 TL
Muğla / Menteşe / Orhaniye Mah.,170 m²,20 Yaşında,9.500.000 TL
Muğla / Menteşe / Orhaniye Mah.,60 m²,5 Yaşında,5.500.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,110 m²,18 Yaşında,5.700.000 TL
Muğla / Menteşe / Bayır Mah.,100 m²,3 Yaşında,4.400.000 TL
Muğla / Menteşe / İkizce Mah.,380 m²,3 Yaşında,19.500.000 TL
Muğla / Menteşe / Bayır Mah.,100 m²,Sıfır Bina,4.550.000 TL
Muğla / Menteşe / Denizova Mah.,250 m²,Sıfır Bina,41.250.000 TL
Muğla / Menteşe / Karamehmet Mah.,110 m²,11 Yaşında,6.500.000 TL
Muğla / Menteşe / Orhaniye Mah.,125 m²,5 Yaşında,9.550.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,100 m²,26 Yaşında,5.350.000 TL
Muğla / Menteşe / Yeniköy Mah.,200 m²,1 Yaşında,13.800.000 TL
Muğla / Menteşe / Muslihittin Mah.,110 m²,1 Yaşında,3.750.000 TL
Muğla / Menteşe / Orhaniye Mah.,73 m²,Sıfır Bina,12.000.000 TL
Muğla / Menteşe / Kiramettin Mah.,97 m²,Sıfır Bina,4.950.000 TL
Muğla / Menteşe / Orta Mah.,116 m²,26 Yaşında,2.499.000 TL
Muğla / Menteşe / Yeşilyurt Mah.,114 m²,20 Yaşında,3.240.000 TL
Muğla / Menteşe / Yeniköy Yerkesik Mah.,913 m²,25 Yaşında,5.750.000 TL
Muğla / Menteşe / Bayır Mah.,80 m²,2 Yaşında,5.100.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,120 m²,31 Yaşında,6.750.000 TL
Muğla / Menteşe / Bayır Mah.,110 m²,5 Yaşında,5.200.000 TL
Muğla / Menteşe / İkizce Mah.,150 m²,2 Yaşında,9.250.000 TL
Muğla / Menteşe / Ortaköy Mah.,180 m²,2 Yaşında,21.250.000 TL
Muğla / Menteşe / Muslihittin Mah.,150 m²,26 Yaşında,8.250.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,190 m²,15 Yaşında,11.250.000 TL
Muğla / Menteşe / Muslihittin Mah.,135 m²,21 Yaşında,6.950.000 TL
Muğla / Menteşe / Gülağzı Mah.,187 m²,Sıfır Bina,18.750.000 TL
Muğla / Menteşe / Yerkesik Mah.,135 m²,18 Yaşında,3.350.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,105 m²,24 Yaşında,5.250.000 TL
Muğla / Menteşe / Yeniköy Mah.,55 m²,7 Yaşında,3.300.000 TL
Muğla / Menteşe / Yeniköy Mah.,50 m²,6 Yaşında,3.500.000 TL
Muğla / Menteşe / Orhaniye Mah.,320 m²,8 Yaşında,13.250.000 TL
Muğla / Menteşe / Orhaniye Mah.,130 m²,30 Yaşında,5.700.000 TL
Muğla / Menteşe / Bayır Mah.,125 m²,1 Yaşında,5.450.000 TL
Muğla / Menteşe / Orhaniye Mah.,150 m²,Sıfır Bina,9.950.000 TL
Muğla / Menteşe / Kötekli Mah.,145 m²,4 Yaşında,7.399.999 TL
Muğla / Menteşe / Kötekli Mah.,130 m²,6 Yaşında,8.600.000 TL
Muğla / Menteşe / Kuyucak Mah.,120 m²,6 Yaşında,6.750.000 TL
Muğla / Menteşe / Kötekli Mah.,130 m²,17 Yaşında,7.000.000 TL
Muğla / Menteşe / Karamehmet Mah.,90 m²,6 Yaşında,6.400.000 TL
Muğla / Menteşe / Orhaniye Mah.,180 m²,Sıfır Bina,20.750.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,135 m²,19 Yaşında,9.500.000 TL
Muğla / Menteşe / Orhaniye Mah.,55 m²,15 Yaşında,4.250.000 TL
Muğla / Menteşe / Muslihittin Mah.,105 m²,35 Yaşında,4.750.000 TL
Muğla / Menteşe / Karamehmet Mah.,200 m²,55 Yaşında,5.250.000 TL
Muğla / Menteşe / Ortaköy Mah.,135 m²,Sıfır Bina,20.000.000 TL
Muğla / Menteşe / Muslihittin Mah.,50 m²,15 Yaşında,3.200.000 TL
Muğla / Menteşe / Kötekli Mah.,35 m²,11 Yaşında,3.100.000 TL
Muğla / Menteşe / Camikebir Mah.,100 m²,35 Yaşında,4.350.000 TL
Muğla / Menteşe / Düğerek Mah.,150 m²,12 Yaşında,8.500.000 TL
Muğla / Menteşe / Düğerek Mah.,150 m²,Sıfır Bina,11.000.000 TL
Muğla / Menteşe / Kötekli Mah.,150 m²,17 Yaşında,8.060.000 TL
Muğla / Menteşe / Yeniköy Mah.,145 m²,6 Yaşında,12.500.000 TL
Muğla / Menteşe / Orhaniye Mah.,170 m²,10 Yaşında,13.400.000 TL
Muğla / Menteşe / Bayır Mah.,95 m²,Sıfır Bina,4.500.000 TL
Muğla / Menteşe / Müştakbey Mah.,136 m²,33 Yaşında,6.450.000 TL
Muğla / Menteşe / Kötekli Mah.,65 m²,11 Yaşında,4.100.000 TL
